Image,Noise Reduction,Filter Size,CLAHE,Grid Size,Pct,static_foreground_removal,Dilation,Opening,Closing,Smoothing_after_morph,objects_before_post_processing,objects_after_post_processing,TP,FP,FN,Precision,Recall,F1,RMSE
2,Gaussian,5,False,8,35,True,True,True,False,False,265,47,24,25,27,0.4897959183673469,0.47058823529411764,0.48,2.0
2,Gaussian,5,False,8,35,True,True,True,False,True,122,55,30,30,21,0.5,0.5882352941176471,0.5405405405405405,9.0
2,Gaussian,5,False,8,35,True,True,True,True,False,101,36,27,15,24,0.6428571428571429,0.5294117647058824,0.5806451612903226,9.0
2,Gaussian,5,False,8,35,True,True,True,True,True,100,48,29,25,22,0.5370370370370371,0.5686274509803921,0.5523809523809524,3.0
2,Gaussian,5,False,8,50,True,False,False,False,False,300,15,8,8,43,0.5,0.1568627450980392,0.23880597014925373,35.0
2,Gaussian,5,False,8,50,True,False,False,False,True,142,25,14,15,37,0.4827586206896552,0.27450980392156865,0.3500000000000001,22.0
2,Gaussian,5,False,8,50,True,False,False,True,False,147,15,11,6,40,0.6470588235294118,0.21568627450980393,0.3235294117647059,34.0
2,Gaussian,5,False,8,50,True,False,False,True,True,132,26,14,16,37,0.4666666666666667,0.27450980392156865,0.34567901234567905,21.0
2,Gaussian,5,False,8,50,True,False,True,False,False,111,14,8,6,43,0.5714285714285714,0.1568627450980392,0.24615384615384614,37.0
2,Gaussian,5,False,8,50,True,False,True,False,True,83,23,12,13,39,0.48,0.23529411764705882,0.3157894736842105,26.0
2,Gaussian,5,False,8,50,True,False,True,True,False,87,14,9,6,42,0.6,0.17647058823529413,0.2727272727272727,36.0
2,Gaussian,5,False,8,50,True,False,True,True,True,80,24,12,14,39,0.46153846153846156,0.23529411764705882,0.31168831168831174,25.0
2,Gaussian,5,False,8,50,True,True,False,False,False,279,23,11,14,40,0.44,0.21568627450980393,0.2894736842105263,26.0
